CustomerID,CustomerSegment,Industry,Region,ProductCategory,DealSize,SalesRep,PreviousInteractions,LeadScore,CreatedDate,SalesCycleDays,ClosedDate,Win,ProfitMargin,Profit
1616,MidMarket,Manufacturing,North,CRM,29747.0,Rep3,5,0.33,2024-01-01,43,2024-02-13,1,0.21,6246.87
1795,SMB,Manufacturing,West,CRM,30349.0,Rep1,1,0.58,2024-01-01,20,2024-01-21,0,0.0,0.0
1082,SMB,Retail,West,ERP,29981.0,Rep1,3,0.3,2024-01-01,10,2024-01-11,0,0.0,0.0
744,MidMarket,Finance,South,Analytics,37874.0,Rep1,7,0.13,2024-01-01,55,2024-02-25,0,0.0,0.0
941,SMB,Technology,North,Analytics,24378.0,Rep4,1,0.22,2024-01-01,16,2024-01-17,1,0.41,9994.98
1595,MidMarket,Finance,East,Analytics,22592.0,Rep2,7,0.34,2024-01-01,53,2024-02-23,0,0.0,0.0
628,MidMarket,Finance,West,Analytics,10425.0,Rep4,5,0.2,2024-01-01,36,2024-02-06,0,0.0,0.0
1190,MidMarket,Healthcare,East,Analytics,7314.0,Rep3,4,0.59,2024-01-01,48,2024-02-18,0,0.0,0.0
535,MidMarket,Healthcare,South,CRM,41976.0,Rep4,9,0.3,2024-01-01,55,2024-02-25,1,0.34,14271.84
472,Enterprise,Healthcare,South,Analytics,28506.0,Rep2,3,0.21,2024-01-01,41,2024-02-11,0,0.0,0.0
1666,Enterprise,Technology,West,Analytics,20024.0,Rep4,4,0.32,2024-01-01,36,2024-02-06,0,0.0,0.0
760,MidMarket,Retail,South,Analytics,25481.0,Rep2,2,0.71,2024-01-01,59,2024-02-29,0,0.0,0.0
1884,MidMarket,Finance,South,ERP,17031.0,Rep1,5,0.25,2024-01-01,56,2024-02-26,0,0.0,0.0
256,MidMarket,Retail,North,CRM,30207.0,Rep3,2,0.2,2024-01-02,53,2024-02-24,0,0.0,0.0
165,SMB,Technology,North,ERP,37587.0,Rep3,4,0.5,2024-01-02,58,2024-02-29,0,0.0,0.0
769,SMB,Manufacturing,East,CRM,18322.0,Rep2,7,0.05,2024-01-02,27,2024-01-29,0,0.0,0.0
69,SMB,Manufacturing,West,CRM,26209.0,Rep3,5,0.33,2024-01-02,26,2024-01-28,1,0.21,5503.89
